Día,Ejercicio,Series,Repeticiones,Peso,Nivel Recomendado
Lunes,Sentadilla,4,10,100,3
Lunes,Press Banca,3,8,80,3
Lunes,Curl Bíceps,3,12,12,2
Martes,Dominadas,4,12,Bodyweight,2
Martes,Remo con barra,4,10,60,3
Martes,Face Pull,3,15,10,1
Miércoles,Press Militar,4,8,40,2
Miércoles,Elevaciones Laterales,3,12,8,1
Miércoles,Flexiones,3,15,Bodyweight,2
Jueves,Peso Muerto,4,6,110,4
Jueves,Remo con mancuernas,3,10,30,2
Jueves,Planchas,3,60s,Bodyweight,2
Viernes,Zancadas,4,12,Bodyweight,2
Viernes,Fondos en paralelas,3,10,Bodyweight,3
Viernes,Abdominales,4,20,Bodyweight,1
Sábado,HIIT (cinta),5,30s on / 30s off,Bodyweight,3
Sábado,Burpees,4,15,Bodyweight,3
Sábado,Estiramiento completo,3,60s,Bodyweight,1
